"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"coaxing","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 636; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"cramped","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 157; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"probing","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 148; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"sensed","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 143; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"rehearsing","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 133; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"sensing","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 130; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"courtyard","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 121; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"stumbling","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 120; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"extinguished","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 116; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"luna","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 108; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"annoyance","word","both","model-distinctive slop","medium","llama; llama-3.1-8b-instruct","Statistically over-represented in llama-3.1-8b-instruct output vs human baseline (slop-forensics profile, score 98; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"eyes glinting","phrase","both","model-distinctive collocation","low","llama; llama-3.1-8b-instruct","Top repetitive n-gram in llama-3.1-8b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"locked onto","phrase","both","model-distinctive collocation","low","llama; llama-3.1-8b-instruct","Top repetitive n-gram in llama-3.1-8b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"voice low husky","phrase","both","model-distinctive collocation","low","llama; llama-3.1-8b-instruct","Top repetitive n-gram in llama-3.1-8b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"akira","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 1541; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"newhaven","word","both","model-distinctive slop","high","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 947; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"comms","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 324; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"exertion","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 286; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"swaying","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 216; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"vibrate","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 169; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"opium","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 135; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"windmill","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 134; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"flowed","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 121; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"pouch","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 120; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"pistols","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 112; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"stranger","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 103; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"treacherous","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 93; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"cunning","word","both","model-distinctive slop","medium","llama; llama-3.1-70b-instruct","Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 92; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"feeling sense","phrase","both","model-distinctive collocation","low","llama; llama-3.1-70b-instruct","Top repetitive n-gram in llama-3.1-70b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"deep breath try","phrase","both","model-distinctive collocation","low","llama; llama-3.1-70b-instruct","Top repetitive n-gram in llama-3.1-70b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"amnesiac","word","both","model-distinctive slop","high","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 1684; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"elyria","word","both","model-distinctive slop","high","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 1506; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"erebus","word","both","model-distinctive slop","high","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 848; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"frazzled","word","both","model-distinctive slop","high","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 848; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"glassy","word","both","model-distinctive slop","medium","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 326; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"manipulated","word","both","model-distinctive slop","medium","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 156; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"catastrophic","word","both","model-distinctive slop","medium","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 146; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"catastrophe","word","both","model-distinctive slop","medium","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 126; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"bartender","word","both","model-distinctive slop","medium","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 124; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"drifting","word","both","model-distinctive slop","medium","llama; llama-3.1-405b-instruct","Statistically over-represented in llama-3.1-405b-instruct output vs human baseline (slop-forensics profile, score 120; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"incident report","phrase","both","model-distinctive collocation","low","llama; llama-3.1-405b-instruct","Top repetitive n-gram in llama-3.1-405b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"eyes sparkling","phrase","both","model-distinctive collocation","low","llama; llama-3.1-405b-instruct","Top repetitive n-gram in llama-3.1-405b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"sunstone","word","both","model-distinctive slop","high","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 1826; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"hellhound","word","both","model-distinctive slop","high","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 1565; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"hemlock","word","both","model-distinctive slop","high","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 1431; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"hana","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 787; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"alistair","word","both","model-distinctive slop","high","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 761; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"tiber","word","both","model-distinctive slop","high","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 700; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"hemmings","word","both","model-distinctive slop","high","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 548; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"impeccably","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 373; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"cataloging","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 332; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"chipped","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 257; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"bartholomew","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 256; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"radiated","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 253; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"sandalwood","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 233; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"wren","word","both","model-distinctive slop","medium","gemma; gemma-3-27b-it","Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 226; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"man hemlock","phrase","both","model-distinctive collocation","low","gemma; gemma-3-27b-it","Top repetitive n-gram in gemma-3-27b-it output (slop-forensics).","",,"wave2:slop-forensics"
"old man hemlock","phrase","both","model-distinctive collocation","low","gemma; gemma-3-27b-it","Top repetitive n-gram in gemma-3-27b-it output (slop-forensics).","",,"wave2:slop-forensics"
"avoiding eye contact","phrase","both","model-distinctive collocation","low","gemma; gemma-3-27b-it","Top repetitive n-gram in gemma-3-27b-it output (slop-forensics).","",,"wave2:slop-forensics"
"old man tiber","phrase","both","model-distinctive collocation","low","gemma; gemma-3-27b-it","Top repetitive n-gram in gemma-3-27b-it output (slop-forensics).","",,"wave2:slop-forensics"
"kestrel","word","both","model-distinctive slop","high","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 2109; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"flinches","word","both","model-distinctive slop","high","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 1809; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"blares","word","both","model-distinctive slop","high","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 1754; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"creaks","word","both","model-distinctive slop","high","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 1018; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"hitches","word","both","model-distinctive slop","high","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 848; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"pivoted","word","both","model-distinctive slop","medium","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 847; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"why're","word","both","model-distinctive slop","high","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 772; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"blurt","word","both","model-distinctive slop","medium","qwen; qwq-32b","Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 554; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"gon na","phrase","both","model-distinctive collocation","low","qwen; qwq-32b","Top repetitive n-gram in qwq-32b output (slop-forensics).","",,"wave2:slop-forensics"
"throat tightened","phrase","both","model-distinctive collocation","low","qwen; qwq-32b","Top repetitive n-gram in qwq-32b output (slop-forensics).","",,"wave2:slop-forensics"
"jagged shadows","phrase","both","model-distinctive collocation","low","qwen; qwq-32b","Top repetitive n-gram in qwq-32b output (slop-forensics).","",,"wave2:slop-forensics"
"arms crossed","phrase","both","model-distinctive collocation","low","qwen; qwq-32b","Top repetitive n-gram in qwq-32b output (slop-forensics).","",,"wave2:slop-forensics"
"back arms crossed","phrase","both","model-distinctive collocation","low","qwen; qwq-32b","Top repetitive n-gram in qwq-32b output (slop-forensics).","",,"wave2:slop-forensics"
"tilts head studying","phrase","both","model-distinctive collocation","low","qwen; qwq-32b","Top repetitive n-gram in qwq-32b output (slop-forensics).","",,"wave2:slop-forensics"
"clenches","word","both","model-distinctive slop","high","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 1649; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"exhaling","word","both","model-distinctive slop","high","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 595; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"calliope","word","both","model-distinctive slop","high","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 585; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"blinks","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 468; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"henshaw","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 459; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"darrow","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 401; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"faintest","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 312; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"scavengers","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 267; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"flexed","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 261; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"howls","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 249; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"cheekbones","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 226; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"effortless","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 181; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"unimpressed","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 180; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"bracing","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 170; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"tilting","word","both","model-distinctive slop","medium","chatgpt; chatgpt-4o-latest","Statistically over-represented in chatgpt-4o-latest output vs human baseline (slop-forensics profile, score 170; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"long moment","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"shake head","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"exhaled slowly","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"chuckled shaking head","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"hands clasped behind","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"clasped behind back","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"something unreadable expression","phrase","both","model-distinctive collocation","low","chatgpt; chatgpt-4o-latest","Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).","",,"wave2:slop-forensics"
"kaira","word","both","model-distinctive slop","high","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 10013; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"slung","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 401; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"shrugging","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 380; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"mara","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 367; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"clench","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 363; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"replaying","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 324; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"softens","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 310; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"smirking","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 310; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"smuggler","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 267; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"dissecting","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 252; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"jingles","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 248; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"falter","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 184; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"amulet","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 166; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"nguyen","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 143; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"betrays","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 121; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"marlowe","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 113; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"pausing","word","both","model-distinctive slop","medium","command-a; command-r","Statistically over-represented in command-a output vs human baseline (slop-forensics profile, score 110; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"expression unreadable","phrase","both","model-distinctive collocation","low","command-a; command-r","Top repetitive n-gram in command-a output (slop-forensics).","",,"wave2:slop-forensics"
"servqual","word","both","model-distinctive slop","medium","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 2150; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"worldbank","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1699; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"parasuraman","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1640; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"mintzberg","word","both","model-distinctive slop","medium","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1607; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"statista","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1247; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"bryman","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1102; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"baltes","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1016; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"widom","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 976; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"berkow","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 965; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"reskilling","word","both","model-distinctive slop","medium","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 960; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"laudon","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 941; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"ghemawat","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 937; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"kotter","word","both","model-distinctive slop","medium","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 917; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"volkow","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 899; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"maslach","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 878; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"weitzer","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 855; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"salmi","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 843; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"enisa","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 829; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"champy","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 828; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"elkind","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 820; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"blueprinting","word","both","model-distinctive slop","medium","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 817; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"handfield","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 792; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"aaker","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 759; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"theguardian","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 750; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
