AI-CLICHE DETECTION DB  -  22762 entries
format: [severity] domain/type | category | TERM :: why
[high  ] both/word | antislop (open-model slop) | moreover :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | mouthwatering :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.06). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | murmured :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.097). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | mwanga :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.058). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | naledi :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.096). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | navigated :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.059). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | navigating :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | urban light | neon :: Udio/Suno's single most flagged default noun — it appears in nearly every synthwave, pop, and city-themed generation regardless of subject. Communities treat one unmotivated 'neon' as a near-automatic AI fingerprint because it's a visual the model reaches for to signal 'mood' without earning it.
[high  ] both/word | antislop (open-model slop) | newfound :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.032). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | newhaven :: Statistically over-represented in llama-3.1-70b-instruct output vs human baseline (slop-forensics profile, score 947; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | niche :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | nodded :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.041). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | nonchalance :: Statistically over-represented in gemma-2-Ifable-9B output vs human baseline (slop-forensics profile, score 1131; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | numeria :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | nurturing :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.1). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | nvivo :: Statistically over-represented in grok-4-fast output vs human baseline (slop-forensics profile, score 590; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | oakhaven :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | orchestra :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | overexpansion :: Statistically over-represented in grok-4-fast output vs human baseline (slop-forensics profile, score 531; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | overripe :: Statistically over-represented in Darkest-muse-v1 output vs human baseline (slop-forensics profile, score 1058; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | palpable :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | paperbound :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | parasuraman :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1640; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | passions :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.091). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | pattered :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | paused :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.1). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | pcns :: Statistically over-represented in glm-4.6 output vs human baseline (slop-forensics profile, score 547; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | perseverance :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | persevered :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.095). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | phosphorescent :: Statistically over-represented in Darkest-muse-v1 output vs human baseline (slop-forensics profile, score 932; appears in 1/44 model top-lists).
[high  ] both/word | object/prop | pickup truck :: Documented spike: truck mentions hit 11% of country songs in 2019 per Money.co.uk. AI treats 'truck' as a mandatory genre token and inserts it even when the narrative has no vehicle, often just to enable the 'truck/luck/stuck' rhyme family.
[high  ] both/word | antislop (open-model slop) | piqued :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | piquing :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | pleasantries :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.058). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | pondered :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | poring :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.043). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | preoperational :: Statistically over-represented in grok-4-fast output vs human baseline (slop-forensics profile, score 557; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | prided :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.097). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | println :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | profusely :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.096). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | promisee :: Statistically over-represented in glm-4.6 output vs human baseline (slop-forensics profile, score 543; appears in 2/44 model top-lists).
[high  ] both/word | model-distinctive slop | purrs :: Statistically over-represented in gemma-2-9b-it output vs human baseline (slop-forensics profile, score 1317; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | quaint :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.093). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | quandaries :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.048). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | questioningly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | quickens :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 1173; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | quizzically :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.067). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | rasp :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | rasped :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | rasping :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | rasps :: Statistically over-represented in Darkest-muse-v1 output vs human baseline (slop-forensics profile, score 1916; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | ravenswood :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | ravi :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | abstract-noun | realm :: Named in the paper among top LLM-preferred words. Used in 'in the realm of,' it is a grandiose stand-in for 'field/area' that surged with no topical cause — a metaphor-for-prestige noun typical of AI register.
[high  ] both/word | antislop (open-model slop) | reassuringly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | recursive :: Statistically over-represented in claude-3.5-haiku-20241022 output vs human baseline (slop-forensics profile, score 572; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | reeking :: Statistically over-represented in reka-flash-3:free output vs human baseline (slop-forensics profile, score 786; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | regaled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | reminisced :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.075). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | resilience :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.067). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | AI word-spike | resonate / resonates :: Directly identified in the 'Why does ChatGPT delve so much' focal-word study; bleeds into lyrics as 'let it resonate,' an academic-register word that exposes the model's training accent.
[high  ] both/word | antislop (open-model slop) | resonated :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.057). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | resourcefulness :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | restlessly :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 713; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | retorts :: Statistically over-represented in gemini-2.0-flash-001 output vs human baseline (slop-forensics profile, score 507; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | reveled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.071). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | reverberated :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.092). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | rippled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.071). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | rivian :: Statistically over-represented in gpt-oss-20b output vs human baseline (slop-forensics profile, score 530; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | sabb :: Statistically over-represented in gpt-oss-20b output vs human baseline (slop-forensics profile, score 801; appears in 2/44 model top-lists).
[high  ] both/word | model-distinctive slop | saccharine :: Statistically over-represented in gemma-2-9b-it output vs human baseline (slop-forensics profile, score 1095; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | sagely :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | salmi :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 843; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | samir :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.073). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | savored :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | savoring :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.068). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | scrolling :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.086). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | scuffed :: Statistically over-represented in reka-flash-3:free output vs human baseline (slop-forensics profile, score 621; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | seabrook :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.054). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | semco :: Statistically over-represented in qwen3-30b-a3b-instruct-2507 output vs human baseline (slop-forensics profile, score 958; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | serendipitous :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | serendipity :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.089). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | darkness | shadows :: Top-tier filler noun the model uses for instant 'depth' or melancholy. Listed as a primary AI token across lyric-fixer tools; its substitute 'silhouettes' is just as much a tell, proving it's mode collapse rather than choice.
[high  ] both/word | model-distinctive slop | shakily :: Statistically over-represented in quasar-alpha output vs human baseline (slop-forensics profile, score 870; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | shall :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | motion verb / breaking | shatter / shattered :: Named in AI-lyric cliché roundups; the model loves dramatic destruction verbs, and 'shatter the silence' / 'shattered dreams' are emitted as ready-made units rather than fresh images.
[high  ] both/word | model-distinctive slop | sheepish :: Statistically over-represented in claude-3-haiku output vs human baseline (slop-forensics profile, score 653; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | shimmered :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.087). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | shying :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.093). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | shyly :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 1337; appears in 2/44 model top-lists).
[high  ] both/word | model-distinctive slop | sibilant :: Statistically over-represented in Darkest-muse-v1 output vs human baseline (slop-forensics profile, score 1326; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | sighed :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | sound/quiet | silence :: Vollmer's field guide names 'the silence' as an abstraction-drift tell — the model pivots from physical images to 'the soul/the silence/the weight of what remains.' Personified silence is a hallmark.
[high  ] both/word | antislop (open-model slop) | skeptically :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.049). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | slacktivism :: Statistically over-represented in gpt-oss-20b output vs human baseline (slop-forensics profile, score 616; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | snarls :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 632; appears in 2/44 model top-lists).
[high  ] both/word | model-distinctive slop | sneer :: Statistically over-represented in mistral-small-3.1-24b-instruct-2503 output vs human baseline (slop-forensics profile, score 701; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | solace :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.07). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | solidifying :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.096). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | somberly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.069). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | abstract-noun | soul :: Default vessel-word AI uses for any inner state because it's emotionally weighty yet content-free. Over-density of 'soul' (my soul, your soul, soul on fire) is a hallmark of mode-collapsed lyric output that won't commit to a concrete feeling.
[high  ] both/word | abstraction | soul / souls :: Listed by the zoetic Suno study as auto-repeated ('velvet, souls, night'). Vollmer flags the pivot to 'the soul' as abstraction drift — the model retreats to soul when it has no concrete image.
[high  ] both/word | antislop (open-model slop) | sparked :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | sparkled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.056). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | action-verb | spearheaded :: Heavily overused LLM action verb in resumes; appears far more often in AI output than human writing.
[high  ] both/word | model-distinctive slop | spiderweb :: Statistically over-represented in Darkest-muse-v1 output vs human baseline (slop-forensics profile, score 1828; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | sqrt :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.099). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | stammer :: Statistically over-represented in claude-3-haiku output vs human baseline (slop-forensics profile, score 648; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | stammered :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.09). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | starlit :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.053). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | statista :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1247; appears in 2/44 model top-lists).
[high  ] both/word | model-distinctive slop | steadied :: Statistically over-represented in quasar-alpha output vs human baseline (slop-forensics profile, score 535; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | steepled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | stiffly :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 997; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | strategized :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.044). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | strategizing :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.094). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | strummed :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.092). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | stumbled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.044). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | subtext :: Statistically over-represented in claude-3.5-haiku-20241022 output vs human baseline (slop-forensics profile, score 562; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | sunstone :: Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 1826; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | supportively :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.088). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | sympathetically :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | abstract-noun | symphony :: Core 'tapestry noun' — borrowed grandeur applied to non-musical things ('a symphony of colors/emotions/chaos'). Signals the model reaching for an impressive-sounding container instead of a concrete image.
[high  ] both/word | corporate jargon | Synergy :: Classic empty corporate buzzword AI reproduces in business writing.
[high  ] both/word | object/prop | tailgate :: Core bro-country prop (Florida Georgia Line / Luke Bryan 'tailgate' era). AI uses it as shorthand for an entire scene it can't actually depict, dropping the truck's tailgate into choruses as set dressing with no story attached.
[high  ] both/word | model-distinctive slop | takashi :: Statistically over-represented in llama-3.2-1b-instruct output vs human baseline (slop-forensics profile, score 528; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | talis :: Statistically over-represented in deepseek-r1 output vs human baseline (slop-forensics profile, score 11406; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | tanginess :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.059). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | tapestries :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | abstract-noun | tapestry :: The single most notorious AI tell. Spiked in PubMed abstracts post-2022 (Kobak 'why does ChatGPT delve' study) and editors now say 'if tapestry appears, it was ChatGPT.' Used as a generic metaphor for any complex thing ('rich tapestry of...') to fake depth without specifics.
[high  ] both/word | academic-AI crossover | tapestry / woven :: The single most notorious ChatGPT tell (one editor: it's never used innocently); when 'tapestry of [life/dreams]' or 'woven' appears in lyrics it screams LLM lyric-writing.
[high  ] both/word | antislop (open-model slop) | technopolis :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | tensing :: Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 887; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | terran :: Statistically over-represented in gemma-2-Ifable-9B output vs human baseline (slop-forensics profile, score 966; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | theatricality :: Statistically over-represented in gemma-2-Ifable-9B output vs human baseline (slop-forensics profile, score 920; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | theatrically :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 615; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | theguardian :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 750; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | thimbles :: Statistically over-represented in gemma-3-12b-it output vs human baseline (slop-forensics profile, score 1877; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | thornfield :: Statistically over-represented in claude-3.7-sonnet output vs human baseline (slop-forensics profile, score 2695; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | thoughtfully :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.035). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | thrived :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.095). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | throaty :: Statistically over-represented in gemma-2-9b-it output vs human baseline (slop-forensics profile, score 1267; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | thrummed :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | thus :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | tiber :: Statistically over-represented in gemma-3-27b-it output vs human baseline (slop-forensics profile, score 700; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | tightknit :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.09). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | timmy :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | tirelessly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.06). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | tldr :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.083). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | elevated-diction | to delve :: 'Delve' is a hallmark AI verb overused in exposition.
[high  ] both/word | antislop (open-model slop) | todayilearned :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.085). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | towards :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | motion verb / elevation | transcend / transcending :: A high-register elevation verb the model over-uses for spirituality/uplift; almost never appears in natural speech, so it strongly flags generated, inflated text.
[high  ] both/word | antislop (open-model slop) | transcended :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | transcending :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.067). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | trickling :: Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 932; appears in 2/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | trusty :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.094). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | twinkled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.07). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | twinkling :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.099). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | unbeknownst :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.076). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | unbothered :: Statistically over-represented in quasar-alpha output vs human baseline (slop-forensics profile, score 1409; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | uncertainly :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 1379; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | underpins :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | understanding :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | understandingly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
